event_id,race_id,event_type,timestamp,time_precision,result,realized_vote_margin,source_url,notes
ap-call-2024-IN-class1-general,2024-IN-class1-general,race_call,2024-11-06T00:00:00Z,minute,0,,https://www.durangoherald.com/articles/associated-press/ap-race-call-republican-jim-banks-wins-election-to-u-s-senate-from-indiana/,AP call; Jim Banks; call time stated in report; not publication or settlement time
ap-call-2024-VT-class1-general,2024-VT-class1-general,race_call,2024-11-06T00:00:00Z,minute,1,,https://www.yahoo.com/news/ap-race-call-independent-bernie-000039115.html,AP call; Bernie Sanders; Democratic under contract rules; call time stated in report; not publication or settlement time
ap-call-2024-WV-class1-general,2024-WV-class1-general,race_call,2024-11-06T00:30:00Z,minute,0,,https://infotel.ca/newsitem/us-election-2024-wv-senate/cp1444448269,AP call; Jim Justice; call time stated in report; not publication or settlement time
ap-call-2024-CT-class1-general,2024-CT-class1-general,race_call,2024-11-06T01:00:00Z,minute,1,,https://www.wshu.org/live-updates/live-updates-election-day-2024-in-ct,AP call; Chris Murphy; call time stated in report; not publication or settlement time
ap-call-2024-MA-class1-general,2024-MA-class1-general,race_call,2024-11-06T01:00:00Z,minute,1,,https://www.durangoherald.com/articles/associated-press/ap-race-call-democrat-elizabeth-warren-wins-reelection-to-u-s-senate-from-massachusetts/,AP call; Elizabeth Warren; call time stated in report; not publication or settlement time
ap-call-2024-MS-class1-general,2024-MS-class1-general,race_call,2024-11-06T01:00:00Z,minute,0,,https://www.timminstoday.com/world-news/ap-race-call-republican-roger-wicker-wins-reelection-to-us-senate-from-mississippi-9764571,AP call; Roger Wicker; call time stated in report; not publication or settlement time
ap-call-2024-NJ-class1-general,2024-NJ-class1-general,race_call,2024-11-06T01:00:00Z,minute,1,,https://www.durangoherald.com/articles/associated-press/ap-race-call-democrat-andy-kim-wins-election-to-u-s-senate-from-new-jersey/,AP call; Andy Kim; call time stated in report; not publication or settlement time
ap-call-2024-RI-class1-general,2024-RI-class1-general,race_call,2024-11-06T01:00:00Z,minute,1,,https://www.durangoherald.com/articles/associated-press/ap-race-call-democrat-sheldon-whitehouse-wins-reelection-to-u-s-senate-from-rhode-island/,AP call; Sheldon Whitehouse; call time stated in report; not publication or settlement time
ap-call-2024-TN-class1-general,2024-TN-class1-general,race_call,2024-11-06T01:00:00Z,minute,0,,https://www.durangoherald.com/articles/associated-press/ap-race-call-republican-marsha-blackburn-wins-reelection-to-u-s-senate-from-tennessee/,AP call; Marsha Blackburn; call time stated in report; not publication or settlement time
ap-call-2024-FL-class1-general,2024-FL-class1-general,race_call,2024-11-06T01:01:00Z,minute,0,,https://www.durangoherald.com/articles/associated-press/ap-race-call-republican-rick-scott-wins-reelection-to-u-s-senate-from-florida/,AP call; Rick Scott; call time stated in report; not publication or settlement time
ap-call-2024-ND-class1-general,2024-ND-class1-general,race_call,2024-11-06T02:00:00Z,minute,0,,https://www.durangoherald.com/articles/associated-press/ap-race-call-republican-kevin-cramer-wins-reelection-to-u-s-senate-from-north-dakota/,AP call; Kevin Cramer; call time stated in report; not publication or settlement time
ap-call-2024-NY-class1-general,2024-NY-class1-general,race_call,2024-11-06T02:00:00Z,minute,1,,https://www.wamc.org/news/2024-11-05/gillibrand-wins-reelection-in-ny,AP call; Kirsten Gillibrand; call time stated in report; not publication or settlement time
ap-call-2024-WY-class1-general,2024-WY-class1-general,race_call,2024-11-06T02:00:00Z,minute,0,,https://www.durangoherald.com/articles/associated-press/ap-race-call-republican-john-barrasso-wins-reelection-to-u-s-senate-from-wyoming/,AP call; John Barrasso; call time stated in report; not publication or settlement time
ap-call-2024-MD-class1-general,2024-MD-class1-general,race_call,2024-11-06T02:32:00Z,minute,1,,https://www.news4jax.com/news/politics/2024/11/06/why-ap-called-the-maryland-senate-race-for-angela-alsobrooks/,AP call; Angela Alsobrooks; call time stated in report; not publication or settlement time
